character,text
MUERTE,Imposible...
MUERTE,Nadie[stop] NADIE me ha derrotado en siglos.
GAUCHO,"¡Lo hice! ¡Te gané, Muerte!"
MUERTE,"Felicidades, gaucho[stop] demostraste ser digno."
MUERTE,"Ganaste esta batalla[stop] pero esto no termina aquí."
GAUCHO,"¿Qué querés decir?"
MUERTE,"La vida es un camino largo[stop] lleno de desafíos."
MUERTE,"Hoy me venciste en el truco[stop] pero el destino es impredecible."
MUERTE,"Volveremos a encontrarnos[stop] gaucho valiente."
MUERTE,"Y cuando ese día llegue[stop] no será tan fácil."
GAUCHO,"Estaré listo. Siempre lo estaré."
MUERTE,"Eso espero[stop] porque tu odisea[stop] recién comienza..."
